LocationID,trip_count,total_fare,avg_fare,avg_distance,avg_tip,Zone,Borough,latitude,longitude,intensity
236,55749,830970.38,14.90556566037059,4.411012574216578,2.514213528493785,Upper East Side North,Manhattan,40.7128,-74.006,1.0
237,52582,717601.26,13.647279677456163,1.6389437450077975,2.5263211745464225,Upper East Side South,Manhattan,40.7128,-74.006,0.9431918061310517
161,47179,778584.56,16.502777930859068,1.951048771699273,3.049658534517476,Midtown Center,Manhattan,40.7128,-74.006,0.8462752695115607
132,41689,2420692.37,58.06549377533642,15.016397610880567,9.038982225527118,JFK Airport,Queens,40.7128,-74.006,0.7477981667832607
162,39969,626234.1,15.667995196277115,1.9541594735920338,3.0657787285145988,Midtown East,Manhattan,40.7128,-74.006,0.7169455954366895
186,34853,548706.23,15.743443319083005,1.9331957076865693,2.9417806214673057,Penn Station/Madison Sq West,Manhattan,40.7128,-74.006,0.6251771332221205
142,33471,504279.68,15.066167129754115,1.9086606315915269,2.540423351558065,Lincoln Square East,Manhattan,40.7128,-74.006,0.6003874508959802
239,32289,523461.2,16.211750131623774,2.0440202545758615,2.4622338877016943,Upper West Side South,Manhattan,40.7128,-74.006,0.5791852768659528
141,30481,476184.22,15.622329319904201,1.9403425084478856,2.1603736754043505,Lenox Hill West,Manhattan,40.7128,-74.006,0.5467542018690918
170,30267,509368.23,16.82916146297948,1.9830022797105757,2.4888485809627645,Murray Hill,Manhattan,40.7128,-74.006,0.5429155679922509
230,29474,547315.54,18.569435434620345,2.460149284114813,3.198989617968379,Times Sq/Theatre District,Manhattan,40.7128,-74.006,0.5286910975981632
140,28351,491433.69,17.333910267715424,2.349581672604141,2.278670946351099,Lenox Hill East,Manhattan,40.7128,-74.006,0.5085472385154891
68,28178,514304.05,18.251971396124635,3.7803733409042515,2.7015011711264103,East Chelsea,Manhattan,40.7128,-74.006,0.5054440438393514
234,27967,456863.19,16.33579540172346,6.620901419530161,2.448382736796939,Union Sq,Manhattan,40.7128,-74.006,0.5016592225869523
163,27780,444657.62,16.00639380849532,1.9790154787616991,2.973716702663787,Midtown North,Manhattan,40.7128,-74.006,0.4983049023300866
238,25931,438032.84,16.89224634607227,7.67359453935444,2.2133342331572248,Upper West Side North,Manhattan,40.7128,-74.006,0.46513838813252256
263,24998,419655.54,16.787564605168413,2.2151640131210497,2.069666773341867,Yorkville West,Manhattan,40.7128,-74.006,0.4484026619311557
48,23523,394987.95,16.79156357607448,2.069276027717553,2.298922756451133,Clinton East,Manhattan,40.7128,-74.006,0.42194478824732284
138,22506,970986.09,43.14343241802186,9.499117124322403,9.452122545099085,LaGuardia Airport,Queens,40.7128,-74.006,0.40370230856158856
107,22268,369661.69,16.60057885755344,8.81690138315071,2.147519310220945,Gramercy,Manhattan,40.7128,-74.006,0.39943317368921416
262,21989,399344.79,18.16111646732457,2.4582868707080814,2.1027277275001137,Yorkville East,Manhattan,40.7128,-74.006,0.39442859961613663
79,21753,390825.85,17.966526456120995,4.567769043350342,1.7666905714154368,East Village,Manhattan,40.7128,-74.006,0.39019533982672333
229,21240,345494.4,16.26621468926554,1.9095649717514125,2.296479284369115,Sutton Place/Turtle Bay North,Manhattan,40.7128,-74.006,0.38099338104719366
246,21175,410686.02,19.394853364817003,2.020115702479339,2.3160476977567885,West Chelsea/Hudson Yards,Manhattan,40.7128,-74.006,0.379827440850957
164,20759,359583.82,17.32182764102317,11.209176742617661,2.540072257815887,Midtown South,Manhattan,40.7128,-74.006,0.37236542359504204
249,17247,293229.99,17.00179683423204,1.8770238302313444,2.2245074505711138,West Village,Manhattan,40.7128,-74.006,0.30936877791529893
143,17085,307641.04,18.00649926836406,2.095289435177056,1.9176950541410593,Lincoln Square West,Manhattan,40.7128,-74.006,0.3064628961954475
231,16289,355647.85,21.833620848425316,26.528841549511945,2.3487261342009944,TriBeCa/Civic Center,Manhattan,40.7128,-74.006,0.29218461317691796
90,16263,261365.95,16.07120150033819,1.7820051650986903,2.2086509254135156,Flatiron,Manhattan,40.7128,-74.006,0.2917182370984233
137,16232,291762.07,17.97449913750616,3.514359906357812,1.6989637752587483,Kips Bay,Manhattan,40.7128,-74.006,0.2911621733125258
100,14569,246016.29,16.886285263230146,2.0409108380808565,2.6759592284988676,Garment District,Manhattan,40.7128,-74.006,0.26133204183034675
